English,Portuguese
part,papel
history,história
search,procurar
only,só
police,polícia
thought,pensamento
help,ajuda
request,solicitação
kind,Gentil
month,mês
brother,irmão
let,deixar
because,Porque
to put,colocar
no,não
leash,coleira
them,eles
city,cidade
each,cada
speak,falar
come,venha
should,deve
baby,bebê
long time,muito tempo
hours,horas
will,vontade
while,enquanto
meet again,encontrar de novo
any,algum
square,quadrado
speak,falar
understood,Entendido
knew,sabia
were,estavam
Warning,Aviso
here is,aqui está
could,poderia
case,caso
give,dar
type,tipo
their,seus
given,dado
train,Comboio
body,corpo
place,"Lugar, colocar"
eyes,olhos
way,maneira
listen,ouço
whose,de quem
find,encontrar
first,primeiro
lost,perdido
hand,mão
first,primeiro
side,lateral
power,potência
old,velho
be,ser
here,aqui
morning,manhã
so much,tanto
child,criança
point,apontar
came,veio
after,depois
sorry,desculpe
come,venha
in front of,em frente
towards,em direção
minutes,minutos
request,solicitação
bedroom,quarto
placed,colocada
beautiful,bonito
law,lei
would like to,gostaria de
today,hoje
husband,esposo
cause,causa
finally,finalmente
hope,esperança
water,agua
Wait,Esperar
left,deixou
new,novo
job,trabalho
Stop,Pare
would say,diria
Earth,Terra
account,conta
given,dado
far,distante
end,fim
believe,acreditam
sweetheart,amor
large,ampla
rather,em vez
will have,terá
girls,garotas
to play,jogar
office,escritório
